Miasto,ludność
Bardo,2356
Bielawa,28344
Bierutów,4510
Bogatynia,16245
Boguszów-Gorce,14349
Bolesławiec,37293
Bolków,4652
Brzeg Dolny,12607
Bystrzyca Kłodzka,9122
Chocianów,7455
Chojnów,12443
Duszniki-Zdrój,4090
Dzierżoniów,31061
Głogów,62886
Głuszyca,5968
Góra,10877
Gryfów Śląski,6201
Jelenia Góra,75794
Jawor,20853
Jaworzyna Śląska,5046
  Jedlina-Zdrój,4682
  Jelcz-Laskowice,15109
  Kamieniec Ząbkowicki,4343
  Kamienna Góra,17376
  Karpacz,4321
  Kąty Wrocławskie,7184
  Kłodzko,25113
  Kowary,9913
  Kudowa-Zdrój,9392
  Lądek-Zdrój,5043
  Legnica,93040
  Leśna,4047
  Lubań,19756
  Lubawka,5617
  Lubin,68407
  Lubomierz,1759
  Lwówek Śląski,8233
  Mieroszów,3790
  Międzybórz,2324
  Międzylesie,2410
  Milicz,10859
  Mirsk,3679
  Niemcza,2723
  Nowa Ruda,20674
  Nowogrodziec,4122
  Oborniki Śląskie,9027
  Oleśnica,35346
  Olszyna,4322
  Oława,33153
  Piechowice,5798
  Pieńsk,5487
  Pieszyce,6827
  Piława Górna,5969
  Polanica-Zdrój,6038
  Polkowice,21505
  Prochowice,3533
  Prusice,2164
  Przemków,5608
  Radków,2282
  Siechnice,10684
  Sobótka,6998
  Stronie Śląskie,5028
  Strzegom,15086
  Strzelin,11984
  Syców,9946
  Szczawno-Zdrój,5243
  Szczytna,4850
  Szklarska Poręba,5872
  Ścinawa,5304
  Środa Śląska,9552
  Świdnica,53423
  Świebodzice,21942
  Świeradów-Zdrój,3985
  Świerzawa,2032
  Trzebnica,13674
  Twardogóra,6231
  Wałbrzych,101857
  Wąsosz,2574
  Węgliniec,2657
  Wiązów,2280
  Wleń,1592
  Wojcieszów,3470
  Wołów,12054
  Wrocław,674079
  Zawidów,3807
  Ząbkowice Śląskie,14356
  Zgorzelec,29313
  Ziębice,7995
  Złotoryja,14337
  Złoty Stok,2481
  Żarów,6507
  Żmigród,6222
