imię,płeć,liczba,prob
ANNA,KOBIETA,1075653,0.048256663631557624
KATARZYNA,KOBIETA,605826,0.027178970821679506
MARIA,KOBIETA,594197,0.026657262853244164
MAŁGORZATA,KOBIETA,579481,0.025997063828092
AGNIESZKA,KOBIETA,548636,0.024613274827628658
BARBARA,KOBIETA,485438,0.021778043923064472
EWA,KOBIETA,478990,0.021488769438545503
MAGDALENA,KOBIETA,434693,0.019501487825528005
ELŻBIETA,KOBIETA,420102,0.01884689663390017
KRYSTYNA,KOBIETA,413847,0.018566280644342764
JOANNA,KOBIETA,404892,0.01816453545065986
ALEKSANDRA,KOBIETA,389099,0.017456019331862076
MONIKA,KOBIETA,378440,0.016977828151575523
ZOFIA,KOBIETA,373092,0.016737902602070646
TERESA,KOBIETA,335287,0.015041869430972684
NATALIA,KOBIETA,314773,0.014121556655628057
JULIA,KOBIETA,303234,0.01360388632733023
DANUTA,KOBIETA,301751,0.013537354990397595
KAROLINA,KOBIETA,293737,0.013177825567485835
MARTA,KOBIETA,289815,0.013001874182826499
BEATA,KOBIETA,280756,0.012595463271651352
DOROTA,KOBIETA,269186,0.012076402200639491
ALICJA,KOBIETA,251102,0.011265105709007813
HALINA,KOBIETA,243336,0.010916702227808323
JADWIGA,KOBIETA,238547,0.010701854909824242
JOLANTA,KOBIETA,238489,0.010699252875068954
IWONA,KOBIETA,233227,0.010463185515028815
GRAŻYNA,KOBIETA,230489,0.01034035152951192
JANINA,KOBIETA,226676,0.010169290175685798
PAULINA,KOBIETA,223901,0.010044796271445701
ZUZANNA,KOBIETA,219547,0.009849464214126285
JUSTYNA,KOBIETA,216865,0.00972914253802829
IRENA,KOBIETA,215927,0.009687061355261727
HANNA,KOBIETA,215797,0.009681229208396425
WIKTORIA,KOBIETA,203468,0.009128117372224841
BOŻENA,KOBIETA,200589,0.008998957750492502
RENATA,KOBIETA,188669,0.008464194745612521
URSZULA,KOBIETA,186308,0.008358273986005001
AGATA,KOBIETA,183638,0.00823849066192534
SYLWIA,KOBIETA,182687,0.008195826264472248
MAJA,KOBIETA,175030,0.007852312814105972
PATRYCJA,KOBIETA,169306,0.007595518901359913
HELENA,KOBIETA,167835,0.007529525916445613
IZABELA,KOBIETA,159380,0.007150212056860022
EMILIA,KOBIETA,159330,0.007147968923450291
OLIWIA,KOBIETA,156058,0.007001178273117464
ANETA,KOBIETA,151841,0.006811992401340712
WERONIKA,KOBIETA,150995,0.006774038584048055
EWELINA,KOBIETA,148260,0.006651339186535744
