,IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ,prawdopodobieństwo
0,PIOTR,MĘŻCZYZNA,692120,0.0329182891887781
1,KRZYSZTOF,MĘŻCZYZNA,645674,0.03070924616204576
2,ANDRZEJ,MĘŻCZYZNA,542386,0.025796710396960933
3,TOMASZ,MĘŻCZYZNA,538080,0.025591910429835465
4,PAWEŁ,MĘŻCZYZNA,507624,0.02414337633815566
5,MICHAŁ,MĘŻCZYZNA,491591,0.023380822257123932
6,JAN,MĘŻCZYZNA,485100,0.02307210033733494
7,MARCIN,MĘŻCZYZNA,450609,0.021431655454352008
8,JAKUB,MĘŻCZYZNA,422395,0.02008975432279652
9,ADAM,MĘŻCZYZNA,401718,0.019106324476012196
10,ŁUKASZ,MĘŻCZYZNA,384143,0.018270430508936005
11,MAREK,MĘŻCZYZNA,382201,0.018178066009131626
12,GRZEGORZ,MĘŻCZYZNA,377006,0.017930983837924748
13,MATEUSZ,MĘŻCZYZNA,376449,0.01790449206326407
14,STANISŁAW,MĘŻCZYZNA,374852,0.017828536292827615
15,WOJCIECH,MĘŻCZYZNA,334615,0.01591480283318353
16,MARIUSZ,MĘŻCZYZNA,288344,0.013714083074971151
17,DARIUSZ,MĘŻCZYZNA,285899,0.013597795123363681
18,MACIEJ,MĘŻCZYZNA,267785,0.012736265489246005
19,ZBIGNIEW,MĘŻCZYZNA,267089,0.012703162661303755
20,RAFAŁ,MĘŻCZYZNA,262387,0.012479528326555973
21,ROBERT,MĘŻCZYZNA,260217,0.012376319796908444
22,KAMIL,MĘŻCZYZNA,250833,0.011930002358100876
23,JERZY,MĘŻCZYZNA,244093,0.011609437616246335
24,DAWID,MĘŻCZYZNA,237545,0.011298004688996553
25,SZYMON,MĘŻCZYZNA,237378,0.01129006191275179
26,JACEK,MĘŻCZYZNA,233021,0.011082836307371934
27,KACPER,MĘŻCZYZNA,225320,0.010716564930959202
28,JÓZEF,MĘŻCZYZNA,213147,0.010137598372710638
29,RYSZARD,MĘŻCZYZNA,206903,0.00984062415191839
30,TADEUSZ,MĘŻCZYZNA,205066,0.009753253613225987
31,BARTOSZ,MĘŻCZYZNA,203309,0.009669687997285568
32,ARTUR,MĘŻCZYZNA,195807,0.009312881366218393
33,JAROSŁAW,MĘŻCZYZNA,191972,0.009130482881795224
34,SŁAWOMIR,MĘŻCZYZNA,186178,0.008854911351482878
35,SEBASTIAN,MĘŻCZYZNA,185795,0.00883669528380776
36,JANUSZ,MĘŻCZYZNA,184096,0.00875588823686253
37,DAMIAN,MĘŻCZYZNA,183970,0.008749895483528157
38,MIROSŁAW,MĘŻCZYZNA,181867,0.008649873576685412
39,PATRYK,MĘŻCZYZNA,179690,0.008546332116297083
40,ROMAN,MĘŻCZYZNA,174439,0.008296586499163821
41,DANIEL,MĘŻCZYZNA,169087,0.00804203716705618
42,FILIP,MĘŻCZYZNA,166708,0.007928888276719096
43,HENRYK,MĘŻCZYZNA,166333,0.007911052701319176
44,ANTONI,MĘŻCZYZNA,166194,0.007904441648037606
45,PRZEMYSŁAW,MĘŻCZYZNA,165995,0.00789497690269205
46,KAROL,MĘŻCZYZNA,165645,0.007878330365652126
47,ALEKSANDER,MĘŻCZYZNA,149838,0.007126525191394749
48,ADRIAN,MĘŻCZYZNA,148515,0.007063601281383836
49,KAZIMIERZ,MĘŻCZYZNA,148424,0.007059273181753455
50,WIESŁAW,MĘŻCZYZNA,140276,0.006671741799464019
51,MARIAN,MĘŻCZYZNA,133889,0.006367966279252603
52,ARKADIUSZ,MĘŻCZYZNA,133846,0.006365921133273412
53,DOMINIK,MĘŻCZYZNA,133840,0.006365635764067013
54,FRANCISZEK,MĘŻCZYZNA,133394,0.00634442331972471
55,MIKOŁAJ,MĘŻCZYZNA,131330,0.006246256312723557
56,BARTŁOMIEJ,MĘŻCZYZNA,125366,0.005962599321563249
57,LESZEK,MĘŻCZYZNA,114719,0.005456211664808755
58,WIKTOR,MĘŻCZYZNA,112896,0.005369506987597949
59,KRYSTIAN,MĘŻCZYZNA,111360,0.005296452470759882
60,WALDEMAR,MĘŻCZYZNA,108031,0.005138120122743003
61,OLEKSANDR,MĘŻCZYZNA,104507,0.004970513275518167
62,RADOSŁAW,MĘŻCZYZNA,103891,0.0049412153703279
63,BOGDAN,MĘŻCZYZNA,96695,0.004598962568787058
64,ZDZISŁAW,MĘŻCZYZNA,95955,0.004563767033331219
65,KONRAD,MĘŻCZYZNA,90692,0.004313450677785159
66,IGOR,MĘŻCZYZNA,90065,0.004283629595716494
67,HUBERT,MĘŻCZYZNA,88427,0.004205723802369649
68,EDWARD,MĘŻCZYZNA,82405,0.003919308242214153
69,MIECZYSŁAW,MĘŻCZYZNA,78995,0.0037571234099108915
70,OSKAR,MĘŻCZYZNA,75372,0.003584807970780476
71,MARCEL,MĘŻCZYZNA,74951,0.0035647845647981675
