last_name,amount,prob
NOWAK,142456,0.008288881026081267
KOWALSKA,91967,0.005351150680389846
WIŚNIEWSKA,72514,0.004219267133186788
WÓJCIK,65430,0.0038070806813085955
KOWALCZYK,64050,0.003726784619254402
KAMIŃSKA,62495,0.003636306085562902
LEWANDOWSKA,62168,0.0036172794099891908
DĄBROWSKA,61015,0.0035501914682873905
ZIELIŃSKA,60388,0.0035137091270497243
SZYMAŃSKA,59075,0.0034373114969938143
WOŹNIAK,58211,0.003387039179881624
KOZŁOWSKA,50171,0.0029192273400876286
MAZUR,45516,0.0026483735945352594
JANKOWSKA,45360,0.002639296648390003
KWIATKOWSKA,44286,0.002576805365313044
WOJCIECHOWSKA,44238,0.002574012458806811
KRAWCZYK,42247,0.002458165024350363
KACZMAREK,40964,0.0023835129608608483
PIOTROWSKA,40940,0.002382116507607732
GRABOWSKA,38552,0.00224316940892265
PAWŁOWSKA,36886,0.002146232278935486
MICHALSKA,36390,0.002117372245037747
ZAJĄC,35851,0.002086010232394841
KRÓL,35533,0.0020675072267910487
NOWAKOWSKA,34865,0.002028639277912642
WIECZOREK,33832,0.0019685336024764235
JABŁOŃSKA,33211,0.0019324003745520367
WRÓBEL,32910,0.0019148865233358685
MAJEWSKA,32832,0.0019103480502632403
ADAMCZYK,32796,0.0019082533703835656
DUDEK,32077,0.0018664179583422866
NOWICKA,32006,0.0018622867841351506
OLSZEWSKA,31651,0.0018416309130994705
JAWORSKA,31359,0.0018246407318532208
MALINOWSKA,31184,0.0018144582602159138
STĘPIEŃ,30798,0.001791998637061625
GÓRSKA,29997,0.001745392009738865
PAWLAK,29769,0.001732125703834259
WITKOWSKA,29723,0.0017294491684324528
WALCZAK,29143,0.0016957015481488063
SIKORA,29034,0.0016893593229575692
RUTKOWSKA,28866,0.0016795841501857545
MICHALAK,28227,0.0016424035823215302
SZEWCZYK,27945,0.0016259952565974125
OSTROWSKA,27805,0.0016178492792875668
BARAN,27772,0.0016159291560645316
TOMASZEWSKA,26792,0.001558907314895612
PIETRZAK,26009,0.0015133480275126893
WRÓBLEWSKA,25683,0.0014943795374911914
ZALEWSKA,25661,0.0014930994553425015
MARCINIAK,25562,0.0014873390856733962
JASIŃSKA,25456,0.0014811714171387989
DUDA,25438,0.0014801240771989614
JAKUBOWSKA,25068,0.0014585954228800836
ZAWADZKA,25025,0.0014560934441349167
SADOWSKA,24889,0.0014481802090339237
WŁODARCZYK,23719,0.0013801031129444992
BĄK,23580,0.0013720153211868665
CHMIELEWSKA,23530,0.0013691060435762075
BORKOWSKA,23422,0.0013628220039371836
WILK,23074,0.0013425734317669958
SOKOŁOWSKA,22928,0.001334078341143871
SZCZEPAŃSKA,22506,0.0013095240381099074
SAWICKA,22445,0.0013059747194249032
KUCHARSKA,21994,0.0012797330353767576
LIS,21851,0.0012714125014102722
MACIEJEWSKA,21479,0.001249767475986968
KUBIAK,21319,0.0012404577876328586
KALINOWSKA,21299,0.001239294076588595
CZARNECKA,21255,0.001236733912291215
MAZUREK,21158,0.0012310899137265362
WYSOCKA,21136,0.0012298098315778462
URBAŃSKA,20285,0.001180293926644427
KOŁODZIEJ,20204,0.0011755808969151592
KAŹMIERCZAK,19948,0.0011606853955485842
SOBCZAK,18790,0.0010933065260857176
SIKORSKA,18734,0.0010900481351617795
GŁOWACKA,18719,0.0010891753518785816
KRAJEWSKA,18615,0.0010831240544484106
ZAKRZEWSKA,18592,0.0010817857867475072
KRUPA,18424,0.0010720106139756925
ADAMSKA,18368,0.0010687522230517542
WASILEWSKA,18330,0.0010665411720676534
GAJEWSKA,18123,0.0010544967627595242
