last_name,amount,prob
NOWAK,146263,0.008314014796096234
KOWALSKI,94540,0.005373928873487744
WIŚNIEWSKI,74268,0.004221609367211633
WÓJCIK,67268,0.003823708985210213
KOWALCZYK,66159,0.0037606701961188454
KAMIŃSKI,63886,0.0036314662577918134
LEWANDOWSKI,62737,0.003566153752231866
ZIELIŃSKI,61729,0.0035088560972236613
DĄBROWSKI,61604,0.0035017507332593505
SZYMAŃSKI,60134,0.003418191653039052
WOŹNIAK,60099,0.003416202151129045
KOZŁOWSKI,51232,0.0029121760529566753
MAZUR,46877,0.002664625172440078
JANKOWSKI,46555,0.002646321754868013
KWIATKOWSKI,44692,0.0025404234103439207
WOJCIECHOWSKI,44623,0.002536501249435621
KRAWCZYK,43030,0.0024459504910744408
KACZMAREK,41985,0.0023865496483328
PIOTROWSKI,41351,0.0023505112423058143
GRABOWSKI,39310,0.0022344948594965434
ZAJĄC,37713,0.002143716729488505
PAWŁOWSKI,37510,0.002132177618410464
MICHALSKI,36923,0.0020988108292340595
KRÓL,36630,0.0020821558561017143
NOWAKOWSKI,35479,0.0020167296647183378
WRÓBEL,34319,0.0019507918871295312
WIECZOREK,34253,0.001947040254956375
JABŁOŃSKI,33815,0.001922143059625429
DUDEK,33484,0.0019033280558479334
ADAMCZYK,33407,0.0018989511516459177
MAJEWSKI,33213,0.001887923626773307
NOWICKI,32372,0.0018401187380214221
OLSZEWSKI,32297,0.0018358555196428354
STĘPIEŃ,31978,0.0018177226308059137
MALINOWSKI,31793,0.0018072066921387333
JAWORSKI,31748,0.0018046487611115814
PAWLAK,31018,0.0017631534355600047
GÓRSKI,30403,0.0017281950448555944
SIKORA,30069,0.0017092095123429551
WITKOWSKI,30018,0.0017063105238455162
WALCZAK,29873,0.0016980683016469154
RUTKOWSKI,29505,0.0016771501101359835
BARAN,29492,0.0016764111522836952
MICHALAK,28866,0.0016408274895504255
SZEWCZYK,28528,0.0016216145853909284
OSTROWSKI,28126,0.0015987637348817039
TOMASZEWSKI,26951,0.00153197331361718
DUDA,26581,0.0015109414362828191
ZALEWSKI,26474,0.0015048592447293688
PIETRZAK,26448,0.0015033813290247923
WRÓBLEWSKI,26054,0.0014809852218092838
JASIŃSKI,25839,0.0014687639957906688
MARCINIAK,25703,0.0014610333597974983
ZAWADZKI,25419,0.0014448899728705836
SADOWSKI,25373,0.001442275198931717
BĄK,25336,0.001440172011198281
JAKUBOWSKI,25235,0.0014344308771151177
WILK,24177,0.0013742910765211888
CHMIELEWSKI,24031,0.0013659920114108734
WŁODARCZYK,23987,0.001363490923295436
BORKOWSKI,23557,0.0013390484712582059
SOKOŁOWSKI,23053,0.0013103996437541037
SZCZEPAŃSKI,22965,0.0013053974675232287
SAWICKI,22916,0.0013026121648492188
LIS,22700,0.0012903340959188893
KUCHARSKI,22334,0.0012695295902313865
MAZUREK,21746,0.0012361059581432671
KUBIAK,21721,0.001234684885350405
KALINOWSKI,21629,0.0012294553374726722
WYSOCKI,21608,0.0012282616363266678
MACIEJEWSKI,21505,0.0012224068164200755
CZARNECKI,21417,0.0012174046401892005
KOŁODZIEJ,20686,0.0011758524717259094
KAŹMIERCZAK,20509,0.0011657912763524448
URBAŃSKI,20450,0.00116243754456129
SOBCZAK,19611,0.0011147463416328342
KONIECZNY,19341,0.0010993987554699224
GŁOWACKI,19095,0.0010854153991881582
KRUPA,19061,0.0010834827401898655
WASILEWSKI,18885,0.0010734783877281156
ZAKRZEWSKI,18833,0.0010705225563189622
KRAJEWSKI,18741,0.0010652930084412292
SIKORSKI,18545,0.0010541517977451895
ADAMSKI,18536,0.001053640211539759
MRÓZ,18481,0.0010505138513954623
LASKOWSKI,18355,0.0010433516445194366
GAJEWSKI,18314,0.0010410210851391427
ZIÓŁKOWSKI,18298,0.0010401115985517108
SZULC,18196,0.001034313621556833
MAKOWSKI,18175,0.0010331199204108288
KOZAK,18059,0.001026526142651948
BARANOWSKI,17980,0.0010220355526265035
SZYMCZAK,17892,0.0010170333763956285
KACZMARCZYK,17819,0.0010128838438404708
PRZYBYLSKI,17807,0.001012201728899897
BRZEZIŃSKI,17806,0.0010121448859881825
CZERWIŃSKI,17799,0.001011746985606181
BŁASZCZYK,17640,0.0010027089626435774
ANDRZEJEWSKI,17625,0.0010018563189678601
BOROWSKI,17569,0.0009986731159118487
CIEŚLAK,17487,0.0009940119971512606
KANIA,17351,0.0009862813611580903
CHOJNACKI,17248,0.0009804265412514978
GÓRECKI,17243,0.0009801423266929254
SZCZEPANIAK,17136,0.0009740601351394751
JANIK,17128,0.0009736053918457593
LESZCZYŃSKI,16796,0.0009547335451565491
LIPIŃSKI,16786,0.0009541651160394042
MUCHA,16786,0.0009541651160394042
KOZIOŁ,16668,0.0009474576524570945
WESOŁOWSKI,16658,0.0009468892233399496
KOWALEWSKI,16632,0.000945411307635373
MIKOŁAJCZYK,16516,0.0009388175298764923
NOWACKI,16366,0.000930291093119319
DOMAŃSKI,16360,0.000929950035649032
JAROSZ,16060,0.0009128971621346855
CIESIELSKI,16035,0.0009114760893418234
MUSIAŁ,16010,0.0009100550165489611
KOWALIK,16002,0.0009096002732552452
ZIĘBA,15968,0.0009076676142569526
KOŁODZIEJCZYK,15787,0.0008973790472366302
MARKOWSKI,15686,0.0008916379131534668
KOPEĆ,15577,0.0008854420357765876
BRZOZOWSKI,15534,0.0008829977905728646
PIĄTEK,15349,0.0008724818519056842
KUREK,15346,0.0008723113231705407
ŻAK,15263,0.0008675933614982382
ORŁOWSKI,15207,0.0008644101584422268
PAWLIK,15161,0.0008617953845033603
TOMCZYK,15146,0.000860942740827643
TOMCZAK,15120,0.0008594648251230663
KOT,15097,0.0008581574381536331
URBANIAK,14882,0.000845936212135018
WAWRZYNIAK,14835,0.0008432645952844371
MARKIEWICZ,14723,0.0008368981891724144
WÓJTOWICZ,14719,0.0008366708175255564
KRUK,14689,0.0008349655301741217
WOLSKI,14588,0.0008292243960909585
POLAK,14462,0.0008220621892149329
CZAJKOWSKI,14440,0.0008208116451572142
STASIAK,14327,0.0008143883961334769
NAWROCKI,14304,0.0008130810091640437
SOWA,14287,0.0008121146796648973
STANKIEWICZ,14073,0.0007999502965579968
ŁUCZAK,14011,0.0007964260360316986
JASTRZĘBSKI,13998,0.0007956870781794102
KARPIŃSKI,13969,0.00079403863373969
DZIEDZIC,13785,0.0007835795379842242
WIERZBICKI,13754,0.000781817407721075
PIASECKI,13650,0.0007759057449027682
GAJDA,13503,0.0007675498368807384
KLIMEK,13463,0.0007652761204121588
BEDNAREK,13401,0.0007617518598858606
URBAN,13281,0.0007549307104801219
STEFAŃSKI,13262,0.0007538506951575467
JANICKI,13174,0.0007488485189266717
JÓŹWIAK,13135,0.0007466316453698066
BIELECKI,13113,0.0007453811013120879
DOMAGAŁA,13055,0.0007420842124326476
SOSNOWSKI,12984,0.0007380483657009188
MADEJ,12983,0.0007379915227892044
MAJCHRZAK,12954,0.0007363430783494842
MAJ,12861,0.0007310566875600368
MILEWSKI,12819,0.0007286692852680282
DOBROWOLSKI,12790,0.0007270208408283081
MAŁECKI,12731,0.0007236671090371532
SKIBA,12670,0.0007201996914225695
KOWAL,12665,0.000719915476863997
LEŚNIAK,12627,0.0007177554462188464
ŚLIWIŃSKI,12586,0.0007154248868385525
SOCHA,12429,0.0007065005496993777
MAREK,12365,0.0007028626033496505
BEDNARCZYK,12219,0.0006945635382393352
WRONA,12177,0.0006921761359473266
KASPRZAK,12083,0.0006868329022461647
PAJĄK,11982,0.0006810917681630014
MATUSZEWSKI,11973,0.0006805801819575709
OLEJNICZAK,11912,0.0006771127643429871
RATAJCZAK,11755,0.0006681884272038125
WILCZYŃSKI,11750,0.00066790421264524
ROMANOWSKI,11704,0.0006652894387063735
MICHALIK,11659,0.0006627315076792215
ŚWIĄTEK,11632,0.0006611967490629304
OWCZAREK,11601,0.0006594346187997812
KUROWSKI,11583,0.0006584114463889204
ORZECHOWSKI,11581,0.0006582977605654915
GRZELAK,11561,0.0006571609023312017
OLEJNIK,11451,0.0006509081820426079
ŁUKASIK,11419,0.0006490892088677443
RYBAK,11335,0.0006443144042837273
SOBOLEWSKI,11242,0.0006390280134942798
ROGOWSKI,11223,0.0006379479981717046
BUKOWSKI,11208,0.0006370953544959872
MAZURKIEWICZ,11206,0.0006369816686725583
SROKA,11145,0.0006335142510579745
MATUSIAK,11128,0.0006325479215588282
KĘDZIERSKI,11121,0.0006321500211768267
KOSIŃSKI,11093,0.000630558419648821
BARAŃSKI,11092,0.0006305015767371066
CZAJKA,10951,0.0006224867261853637
KOZIEŁ,10882,0.000618564565277064
SOBCZYK,10875,0.0006181666648950626
MARSZAŁEK,10837,0.000616006634249912
MARCINKOWSKI,10833,0.0006157792626030541
SKOWROŃSKI,10833,0.0006157792626030541
ZYCH,10812,0.0006145855614570498
