first_name,gender,amount,prob
PIOTR,MĘŻCZYZNA,692120,0.0330495543715594
KRZYSZTOF,MĘŻCZYZNA,645674,0.0308317025505725
ANDRZEJ,MĘŻCZYZNA,542386,0.025899577526112
TOMASZ,MĘŻCZYZNA,538080,0.0256939608973136
PAWEŁ,MĘŻCZYZNA,507624,0.0242396506217252
MICHAŁ,MĘŻCZYZNA,491591,0.0234740557751102
JAN,MĘŻCZYZNA,485100,0.023164102793798
MARCIN,MĘŻCZYZNA,450609,0.0215171164621944
JAKUB,MĘŻCZYZNA,422395,0.0201698643570115
ADAM,MĘŻCZYZNA,401718,0.0191825129790124
ŁUKASZ,MĘŻCZYZNA,384143,0.0183432857957492
MAREK,MĘŻCZYZNA,382201,0.0182505529826683
GRZEGORZ,MĘŻCZYZNA,377006,0.0180024855449981
MATEUSZ,MĘŻCZYZNA,376449,0.0179758881315656
STANISŁAW,MĘŻCZYZNA,374852,0.0178996294794079
WOJCIECH,MĘŻCZYZNA,334615,0.0159782648038481
MARIUSZ,MĘŻCZYZNA,288344,0.0137687694413005
DARIUSZ,MĘŻCZYZNA,285899,0.0136520177791054
MACIEJ,MĘŻCZYZNA,267785,0.0127870527038491
ZBIGNIEW,MĘŻCZYZNA,267089,0.0127538178748561
RAFAŁ,MĘŻCZYZNA,262387,0.0125292917743893
ROBERT,MĘŻCZYZNA,260217,0.0124256716897417
KAMIL,MĘŻCZYZNA,250833,0.0119775745126298
JERZY,MĘŻCZYZNA,244093,0.0116557314847382
DAWID,MĘŻCZYZNA,237545,0.0113430566855344
SZYMON,MĘŻCZYZNA,237378,0.0113350822366237
JACEK,MĘŻCZYZNA,233021,0.0111270302970802
KACPER,MĘŻCZYZNA,225320,0.010759298374559
JÓZEF,MĘŻCZYZNA,213147,0.0101780231255198
RYSZARD,MĘŻCZYZNA,206903,0.0098798646884048
TADEUSZ,MĘŻCZYZNA,205066,0.0097921457503875
BARTOSZ,MĘŻCZYZNA,203309,0.0097082469076567
ARTUR,MĘŻCZYZNA,195807,0.0093500174721608
JAROSŁAW,MĘŻCZYZNA,191972,0.0091668916543619
SŁAWOMIR,MĘŻCZYZNA,186178,0.0088902212532338
SEBASTIAN,MĘŻCZYZNA,185795,0.0088719325470494
JANUSZ,MĘŻCZYZNA,184096,0.0087908032734014
DAMIAN,MĘŻCZYZNA,183970,0.0087847866233251
MIROSŁAW,MĘŻCZYZNA,181867,0.00868436586848
PATRYK,MĘŻCZYZNA,179690,0.0085804115254948
ROMAN,MĘŻCZYZNA,174439,0.0083296700211241
DANIEL,MĘŻCZYZNA,169087,0.0080741056464541
FILIP,MĘŻCZYZNA,166708,0.0079605055628705
HENRYK,MĘŻCZYZNA,166333,0.0079425988662148
ANTONI,MĘŻCZYZNA,166194,0.0079359614506544
PRZEMYSŁAW,MĘŻCZYZNA,165995,0.0079264589636291
KAROL,MĘŻCZYZNA,165645,0.0079097460467505
ALEKSANDER,MĘŻCZYZNA,149838,0.0071549429693199
ADRIAN,MĘŻCZYZNA,148515,0.0070917681435186
KAZIMIERZ,MĘŻCZYZNA,148424,0.0070874227851302
WIESŁAW,MĘŻCZYZNA,140276,0.0066983460801954
MARIAN,MĘŻCZYZNA,133889,0.0063933592227557
ARKADIUSZ,MĘŻCZYZNA,133846,0.0063913059215392
DOMINIK,MĘŻCZYZNA,133840,0.0063910194143927
FRANCISZEK,MĘŻCZYZNA,133394,0.0063697223831702
MIKOŁAJ,MĘŻCZYZNA,131330,0.0062711639247773
BARTŁOMIEJ,MĘŻCZYZNA,125366,0.0059863758211652
LESZEK,MĘŻCZYZNA,114719,0.005477968889717
WIKTOR,MĘŻCZYZNA,112896,0.0053909184683748
KRYSTIAN,MĘŻCZYZNA,111360,0.0053175726388731
WALDEMAR,MĘŻCZYZNA,108031,0.0051586089237616
